Origin,Destination,Count,Other Direction,Total Moves,Ratio,Job Move
15-1199.08,13-1111.00,1,4,5,0.2,Demotion
15-2031.00,13-1111.00,9,3,12,0.75,Promotion
15-2031.00,13-1161.00,1,1,2,0.5,Lateral
15-2031.00,13-2011.01,1,1,2,0.5,Lateral
15-2031.00,15-1121.00,1,0,1,1.0,Promotion
43-3031.00,11-2021.00,3,1,4,0.75,Promotion
43-3031.00,13-1111.00,4,1,5,0.8,Promotion
43-3031.00,13-1161.00,1,0,1,1.0,Promotion
43-3031.00,13-2011.01,15,6,21,0.7142857142857143,Lateral
43-3031.00,13-2011.02,25,9,34,0.7352941176470589,Lateral
43-3031.00,13-2051.00,5,2,7,0.7142857142857143,Lateral
43-3031.00,13-2061.00,1,0,1,1.0,Promotion
43-3031.00,15-1121.00,1,0,1,1.0,Promotion
43-3031.00,15-2031.00,2,0,2,1.0,Promotion
