Origin,Destination,Count,Other Direction,Total Moves,Ratio,Job Move
13-2061.00,15-1122.00,2,1,3,0.6666666666666666,Lateral
13-2099.02,11-2021.00,2,0,2,1.0,Promotion
13-2099.02,13-1111.00,10,2,12,0.8333333333333334,Promotion
13-2099.02,13-2011.02,5,1,6,0.8333333333333334,Promotion
13-2099.02,13-2051.00,1,2,3,0.3333333333333333,Demotion
13-2099.02,15-1122.00,3,3,6,0.5,Lateral
13-2099.02,15-2031.00,1,0,1,1.0,Promotion
15-1121.00,11-2021.00,64,11,75,0.8533333333333334,Promotion
15-1121.00,11-9199.02,1,0,1,1.0,Promotion
15-1121.00,13-1111.00,361,271,632,0.5712025316455697,Lateral
15-1121.00,13-1161.00,15,4,19,0.7894736842105263,Promotion
15-1121.00,13-2011.01,24,26,50,0.48,Lateral
15-1121.00,13-2011.02,20,25,45,0.4444444444444444,Lateral
15-1121.00,13-2051.00,3,4,7,0.42857142857142855,Lateral
15-1121.00,13-2061.00,1,0,1,1.0,Promotion
15-1121.00,15-1122.00,19,7,26,0.7307692307692307,Lateral
15-1121.00,15-2031.00,3,5,8,0.375,Lateral
15-1121.00,43-3031.00,6,0,6,1.0,Promotion
15-1122.00,11-2021.00,15,6,21,0.7142857142857143,Lateral
15-1122.00,11-9199.02,1,1,2,0.5,Lateral
15-1122.00,13-1111.00,49,74,123,0.3983739837398374,Lateral
15-1122.00,13-1161.00,4,2,6,0.6666666666666666,Lateral
15-1122.00,13-2011.01,7,9,16,0.4375,Lateral
15-1122.00,13-2011.02,28,34,62,0.45161290322580644,Lateral
15-1122.00,13-2051.00,1,0,1,1.0,Promotion
15-1122.00,13-2061.00,1,2,3,0.3333333333333333,Demotion
15-1122.00,13-2099.02,3,3,6,0.5,Lateral
15-1122.00,15-1121.00,7,19,26,0.2692307692307692,Demotion
15-1122.00,15-2031.00,2,0,2,1.0,Promotion
15-1122.00,43-3031.00,2,0,2,1.0,Promotion
15-1199.08,13-1111.00,1,4,5,0.2,Demotion
15-1199.08,13-1161.00,1,0,1,1.0,Promotion
15-1199.08,15-1121.00,1,0,1,1.0,Promotion
15-1199.08,15-2031.00,1,0,1,1.0,Promotion
15-1199.10,11-2021.00,2,1,3,0.6666666666666666,Lateral
15-1199.10,13-1111.00,1,0,1,1.0,Promotion
15-2031.00,11-2021.00,19,3,22,0.8636363636363636,Promotion
15-2031.00,13-1111.00,87,21,108,0.8055555555555556,Promotion
15-2031.00,13-1161.00,3,2,5,0.6,Lateral
15-2031.00,13-1199.01,1,0,1,1.0,Promotion
15-2031.00,13-2011.01,3,5,8,0.375,Lateral
15-2031.00,13-2011.02,3,7,10,0.3,Demotion
15-2031.00,15-1121.00,5,3,8,0.625,Lateral
43-3031.00,11-2021.00,11,9,20,0.55,Lateral
43-3031.00,11-9199.02,1,0,1,1.0,Promotion
43-3031.00,13-1041.00,1,0,1,1.0,Promotion
43-3031.00,13-1111.00,32,14,46,0.6956521739130435,Lateral
43-3031.00,13-1161.00,1,6,7,0.14285714285714285,Demotion
43-3031.00,13-2011.01,27,20,47,0.574468085106383,Lateral
43-3031.00,13-2011.02,583,102,685,0.8510948905109489,Promotion
43-3031.00,13-2051.00,3,1,4,0.75,Promotion
43-3031.00,15-2031.00,1,0,1,1.0,Promotion
